Fish_Individual_ID,Fork_Length,Total_Length,Round_Weight,Sex_ID,Assessed_Fish_Age,Assessed_Age_Confidence
700045145,455,509,893,1,30,5
700136550,345,370,472,4,7,8
700138904,533,562,1468,2,12,8
1400061046,250,262,250,2,4,6
700078960,365,365,315,4,8,5
700036232,451,487,618,1,3,6
700054800,375,414,778,1,9,8
700048761,590,590,1440,2,10,6
1400038086,249,262,130,,4,7
700142133,532,559,1650,2,17,8
700075000,230,246,120,2,2,9
700118074,262,280,192,2,3,9
171052,502,533,871,2,4,7
700134950,285,305,248,2,3,9
700085456,230,245,125,4,2,9
700045315,369,404,908,,7,8
700122726,455,499,1280,,14,5
700050304,456,478,967,2,4,9
700102942,418,454,940,2,10,5
700065527,242,261,217,4,6,8
700077921,470,470,850,4,6,7
700128427,295,336,339,4,5,8
700070991,230,245,132,4,1,9
700035611,497,558,1951,1,17,5
122668,553,605,1850,1,12,7
167208,275,291,178,1,5,8
700073417,528,528,715,1,9,8
700038338,422,445,728,2,8,9
700135109,446,446,484,1,9,6
700130168,528,556,1498,2,13,8
700074975,140,145,33,4,2,9
700123594,565,596,1953,2,12,7
700045325,327,352,,,5,6
69637,165,165,60,1,1,6
700036640,205,215,112,2,4,8
700135507,525,563,1021,1,5,8
700120570,310,330,301,2,3,9
700138636,457,509,1287,2,15,7
700139524,289,329,258,4,12,6
700123606,170,182,50,4,2,9
700082698,380,398,501,2,6,9
700108003,248,263,141,2,3,9
700081114,224,242,119,2,2,9
700069626,463,502,1364,1,12,6
700053510,469,514,880,2,14,6
700076670,514,543,1346,2,12,8
700054698,360,401,618,2,12,7
155930,429,456,800,2,8,9
55248,359,389,557,1,4,8
700047023,232,242,176,4,10,5
72511,260,271,227,2,2,8
700114815,420,446,751,1,11,8
1400052567,405,428,650,1,4,8
121879,434,487,895,2,12,7
117695,580,620,2500,2,13,6
149621,425,449,750,2,6,9
61727,350,364,540,1,2,7
700033434,414,468,943,2,17,6
700119858,505,560,2238,,25,7
89919,536,592,2300,1,15,6
700039604,319,352,335,1,4,7
700069123,433,458,867,2,9,9
700110637,819,873,4854,1,7,7
700122220,367,412,735,1,11,6
700120364,226,244,174,,5,8
1400060407,191,202,100,1,2,8
700043744,371,394,526,4,5,7
700140779,465,499,1515,,8,6
154868,537,576,1150,2,4,8
1400075326,486,530,1450,1,12,2
700033711,561,595,1088,2,4,6
700031869,532,566,894,2,3,7
700031770,296,333,366,1,7,6
700029142,375,404,713,,6,6
92178,551,580,1500,1,15,8
1400062708,420,448,1300,2,9,7
700101316,446,500,1175,2,31,5
700043503,591,624,2101,2,8,9
700104317,415,441,708,2,11,9
700054593,322,345,608,,5,8
700065398,230,255,119,4,5,6
700057267,730,730,1879,1,21,7
700048097,376,423,660,2,12,7
700035913,531,590,1646,2,14,7
700035332,504,542,1888,2,16,5
700053261,370,394,441,2,5,9
700087473,365,394,544,2,9,9
113183,266,290,194,2,4,9
700139706,425,449,1439,2,10,6
700123245,455,455,610,1,7,8
700126800,452,491,1427,4,9,6
700066583,323,354,433,2,12,6
700051179,340,355,423,2,4,9
71267,359,371,661,2,2,8
1400058470,435,464,804,1,7,8
79391,526,552,890,2,5,6
700125610,215,230,62,1,3,8
700133280,413,438,653,2,21,6
700106850,497,533,850,1,5,7
700132013,398,425,655,2,7,8
700071060,469,492,1111,2,9,9
700122013,294,317,389,,5,7
700092963,441,460,1130,,5,6
1400073559,554,583,1950,1,11,9
700107902,569,600,1646,2,13,8
700121923,195,201,163,2,7,8
1400059459,416,438,1000,1,7,6
700135137,354,373,493,2,3,9
1400057057,159,167,48,,4,6
700105023,398,449,808,2,11,9
700071808,584,584,1291,2,8,8
700050091,581,610,2057,2,8,8
84078,510,546,1700,2,22,5
148985,330,342,330,1,4,9
700122867,451,508,1498,1,17,6
700126910,488,520,1302,4,8,9
700068517,434,470,1000,2,15,9
700045701,566,603,1390,2,4,8
1400082540,195,205,100,2,2,8
700097317,405,438,877,4,9,7
700049685,405,459,950,,11,7
700084139,195,207,70,4,2,8
700076622,420,445,880,4,9,9
700053333,169,195,58,1,3,9
66878,451,503,950,1,10,6
700044496,231,250,165,4,4,8
153830,500,530,1400,1,23,7
700041883,595,660,2414,2,43,5
700124363,186,205,55,1,8,8
1400082465,211,224,140,2,3,8
700133712,340,387,529,1,12,7
700073591,440,466,880,1,8,8
148129,194,206,62,4,1,9
110648,536,568,1100,1,5,7
61068,250,256,210,2,2,8
147766,432,460,1025,2,9,9
700058111,410,465,791,2,37,6
700071018,369,392,542,2,6,8
95036,878,960,10700,2,16,7
700042768,486,980,,,10,7
62149,,94,7,4,0,7
124818,190,200,100,1,3,9
115491,348,388,360,1,7,7
700064888,193,208,85,1,4,9
109105,328,348,330,2,4,9
700097516,428,445,866,1,6,9
700141225,246,263,152,2,3,9
1400035062,353,378,420,2,3,9
700056349,368,409,615,,14,7
700032317,398,416,545,2,5,9
700033732,403,455,927,2,12,6
700029465,408,408,417,4,7,8
1400071674,381,403,550,2,3,9
66267,350,390,500,1,5,6
700045707,485,539,1808,2,24,6
700030010,450,495,897,1,11,7
700049754,165,172,70,4,4,6
700029511,684,718,2485,2,6,7
700110923,570,603,1250,4,4,8
700126834,170,191,46,2,7,9
1400064630,638,670,1900,2,8,6
96323,287,304,235,1,2,8
700064406,417,447,572,2,9,9
700085563,475,507,630,,3,7
700048554,415,450,807,2,6,9
700057281,460,508,964,2,35,7
700065643,221,237,87,4,7,8
126548,236,245,136,2,2,9
700109588,355,387,684,1,9,6
700068766,425,456,946,2,10,9
1400053704,109,114,5,4,1,8
700074574,453,510,1167,1,36,6
700078623,462,495,1825,1,11,6
700041459,447,492,1010,1,27,5
700050628,479,516,1685,,8,5
700115452,431,460,808,2,15,8
1400058105,290,307,246,1,2,9
700108765,237,254,126,1,4,9
173071,140,150,24,2,1,9
700088167,377,402,632,1,12,8
700048046,368,393,537,4,5,9
700059003,348,369,768,1,7,6
700060400,178,204,63,2,7,7
700113167,205,223,97,4,4,8
168423,202,215,77,1,4,9
163647,223,234,150,1,3,9
700134434,542,542,997,2,10,7
700081479,505,536,1400,1,14,9
63613,208,216,112,1,2,7
700128361,421,467,996,2,13,7
700058062,550,601,1671,2,20,5
700032350,326,361,561,1,9,5
700139763,380,405,611,2,6,7
1400035850,271,289,210,1,2,8
700051913,398,422,438,4,3,8
700047199,453,485,625,2,4,8
700119728,258,294,239,,5,8
700120175,261,280,266,,4,8
700041733,586,616,2553,2,7,8
1400065082,420,445,1240,2,6,8
700034258,186,198,60,1,1,8
700075161,464,495,1370,,11,6
158040,311,333,290,1,3,9
700035186,441,492,1310,2,14,8
163680,325,345,380,1,1,9
700079794,203,229,140,2,2,9
1400016833,250,270,150,2,3,7
700129757,560,600,1375,2,5,6
700047838,191,226,72,2,5,6
700087259,500,544,1820,4,8,7
700120683,273,289,194,2,3,9
700135532,349,367,455,1,3,9
1400087464,336,352,600,1,6,7
700054050,399,441,788,2,11,6
700083434,375,414,510,2,5,8
700088836,465,496,1550,1,11,6
700119478,531,559,1267,2,27,3
700050080,491,522,838,1,4,6
700087619,420,449,803,2,9,9
700116550,275,291,239,4,3,8
700113745,443,489,965,2,6,9
700048995,221,232,170,4,3,7
700078713,428,482,1300,1,6,8
700060982,208,224,97,4,1,6
700055268,464,514,1180,1,19,7
1400052829,128,133,15,4,1,8
700033331,470,470,733,4,7,8
700098851,330,356,368,4,6,8
700074682,433,486,1024,4,11,6
700053846,477,513,1189,1,12,8
700032885,496,522,730,1,5,7
700109871,684,746,4831,1,12,7
167027,354,380,330,2,2,9
700041422,425,469,773,2,15,5
700129525,297,318,280,2,3,9
150104,551,581,1877,2,9,9
700059932,390,424,920,,6,7
700069833,418,455,1248,1,10,5
700134574,391,391,402,2,9,7
700135219,523,561,920,1,6,7
700090978,354,380,519,4,7,8
700109594,240,251,261,2,3,8
700075167,364,385,508,2,10,8
700061576,401,442,879,,27,5
1400011049,259,274,240,2,3,8
1400073902,428,452,1600,2,12,6
700053859,158,170,28,4,1,9
700038628,267,285,269,,4,8
700087828,628,661,1610,,6,6
700059826,478,478,594,1,10,7
700135175,585,626,1223,1,5,6
700041732,407,428,1220,2,10,6
700110054,354,377,453,1,5,9
700135329,351,377,524,,8,7
700039312,355,400,582,1,10,8
700116008,199,206,109,4,3,7
700070083,515,549,2039,2,20,6
1400052825,116,120,10,4,1,9
1400054252,375,404,525,1,4,9
700056948,211,236,103,2,7,5
700039350,471,529,1327,1,22,8
700102474,400,400,558,2,6,8
1400018717,249,266,250,1,4,7
700059236,407,435,560,2,2,7
93529,284,314,220,2,6,8
700093138,369,401,812,1,5,8
700071644,435,480,963,2,13,8
700087467,239,256,140,4,3,9
156520,566,595,1860,2,10,9
700083439,476,518,1400,1,18,6
700114134,220,235,91,2,4,9
700050275,563,621,2780,2,6,6
700131782,218,235,98,4,3,8
173065,380,400,500,1,6,9
700050496,470,501,707,1,3,7
700051945,397,423,434,4,4,7
700081629,329,353,392,1,6,9
700068025,352,378,469,2,13,9
88598,479,508,1100,1,5,9
127533,272,286,190,2,4,9
700096972,313,334,330,1,5,9
700066390,316,347,368,2,16,4
700113986,425,460,1096,4,14,5
153813,480,510,1250,1,23,5
700035959,434,489,981,,11,6
700104582,333,354,394,4,4,9
700052378,468,517,1329,1,13,8
700118593,445,473,1296,4,11,7
700116584,378,402,585,2,7,8
700141928,678,724,1940,2,5,6
700124821,466,495,1020,2,11,6
155156,454,478,1000,1,24,8
162095,440,453,850,2,4,6
700097606,366,366,310,4,6,8
700093730,455,494,1416,2,10,4
700065741,335,351,363,2,9,9
700051218,252,270,163,4,3,9
700080127,391,420,697,2,6,9
700094281,382,400,619,2,2,9
700096191,319,342,391,4,9,5
700062957,231,244,195,,2,6
113149,600,632,1300,2,7,6
700120235,490,511,1056,2,11,8
700064452,505,535,997,2,20,9
1400072912,194,203,130,2,2,8
700137363,560,590,1433,2,13,7
110248,326,350,340,1,4,9
700043582,452,503,1344,1,32,6
700059577,385,415,770,4,6,7
700041185,248,260,147,4,1,9
700137765,300,333,313,2,6,8
700046923,210,220,149,4,7,6
700071332,410,446,1003,4,10,7
700122875,437,495,1158,2,12,6
700106747,254,266,123,2,6,8
1400074098,255,268,260,2,3,7
700062922,346,365,425,1,3,8
66233,360,390,450,2,6,8
700104174,270,295,287,4,4,6
700109904,610,667,3351,1,12,5
700060277,327,352,562,,6,8
700061001,350,370,484,4,4,6
700121225,202,215,174,4,3,9
700117378,380,402,626,2,5,8
700052436,421,480,818,1,5,9
118974,472,504,740,1,2,8
700051909,284,303,260,4,3,8
151752,414,439,715,2,6,9
700100382,467,498,1200,2,10,8
700140967,175,185,79,4,4,8
1400087394,354,374,450,1,2,6
700113089,460,513,1153,2,27,6
700129730,688,732,2450,2,6,6
700036483,203,211,135,4,7,7
700125880,275,315,244,2,4,9
700132108,473,501,976,2,10,8
700142873,189,218,96,1,2,9
700074626,432,491,1250,1,10,7
700051613,609,609,1291,2,9,7
700126226,243,260,120,4,3,9
700123974,507,554,2189,,18,4
700040146,533,533,897,1,12,7
1400056968,213,225,95,2,1,9
700059499,420,446,817,1,3,9
700125608,280,300,156,2,6,8
700073817,400,424,678,4,4,9
700057953,313,331,309,2,5,7
700067382,340,368,381,4,16,8
700052056,663,705,3325,2,14,8
700111792,710,783,,4,19,5
122836,325,361,330,1,5,8
700106183,444,476,851,1,24,8
87540,184,198,56,4,1,8
700054948,230,255,175,2,2,8
700132566,359,379,443,1,6,9
173924,506,542,850,2,3,9
700118249,359,391,432,2,7,8
172563,412,442,850,2,7,9
116766,168,175,51,1,2,6
700113159,500,556,1681,2,33,5
700054343,268,291,239,,3,8
700101511,487,534,1600,4,18,6
700139976,291,311,243,4,3,9
700119236,394,417,658,1,7,9
700046718,257,237,248,2,6,9
700133660,230,249,159,,4,8
155996,372,398,550,1,5,9
700142827,245,265,199,4,4,7
700043863,311,330,257,2,3,7
158170,360,381,470,2,5,9
105008,295,371,210,1,4,9
700115194,480,511,745,2,4,7
700125243,372,400,728,,4,6
1400063282,575,624,2148,2,10,6
700123610,324,339,340,4,4,9
700109204,405,431,678,1,13,8
700041952,105,110,,4,6,5
172923,550,578,1110,2,5,6
700116622,293,312,259,1,5,9
700115175,381,408,345,1,3,7
700109284,347,366,419,2,4,9
700029777,430,472,1003,1,27,5
700121027,186,201,67,4,3,8
700048022,460,498,1419,4,10,6
1400019736,810,905,3200,,13,3
1400074137,281,312,240,1,5,8
700042177,639,670,1814,2,12,9
167330,244,272,145,1,5,6
700093065,443,472,853,2,7,8
163348,296,312,380,1,5,9
700074676,482,539,1383,4,19,7
700051533,209,223,84,2,2,9
700069621,445,479,1290,4,6,8
700073445,490,490,691,2,8,6
700068002,265,296,213,1,9,5
62049,354,376,580,1,4,6
700037162,588,648,2243,1,14,7
700118372,176,187,46,4,5,8
700117453,507,540,1590,1,13,5
700062837,235,253,115,,2,8
700055406,446,477,939,2,5,9
700081838,374,396,500,1,6,9
700045103,420,470,637,4,13,7
700140592,208,235,101,4,2,9
700122136,553,585,1632,2,14,8
700054229,377,420,651,2,19,7
170359,177,190,47,2,1,9
700040235,275,294,208,4,4,9
700053166,474,524,1448,1,27,8
154832,543,578,1110,2,3,8
131082,422,468,800,2,8,7
700085258,480,518,1627,4,12,5
700032459,353,372,437,4,4,9
700122175,245,263,122,1,6,7
700046735,423,447,908,2,7,9
700064910,440,440,545,2,9,9
700045191,469,509,1139,1,28,7
700101849,221,237,140,4,3,8
111425,222,238,121,1,2,9
700059631,385,402,1010,2,7,8
700103369,416,446,891,1,7,9
700042309,508,508,1020,2,7,7
700107199,565,596,1384,2,13,7
700112474,269,280,197,2,3,9
700092668,394,434,975,,11,6
700080756,380,410,609,1,9,8
700113574,200,209,90,4,6,9
1400078148,185,195,50,4,3,7
700132552,449,449,504,2,8,8
700115260,274,286,334,1,7,6
700125503,388,429,876,4,6,9
700036045,542,568,1985,,12,3
155206,342,360,450,1,4,9
700038851,353,375,429,4,4,7
700102381,453,485,1247,1,13,4
700033838,223,233,149,1,3,9
700084678,273,294,200,4,5,9
700057837,470,499,1457,,15,6
700079334,425,478,1200,1,17,5
56272,392,416,770,2,4,8
1400077938,290,317,212,4,5,5
700083464,401,448,676,2,6,8
700124338,391,434,635,2,9,7
92226,432,454,620,2,4,9
148846,320,344,340,2,3,8
700108438,220,255,110,4,6,9
700141395,334,356,406,1,8,8
111073,394,420,700,2,4,9
700127393,198,209,109,4,5,8
700039339,359,381,477,4,3,9
1400064171,358,381,650,2,5,7
173725,302,320,155,4,2,7
700041886,520,579,1570,1,20,6
700103077,516,536,1655,2,7,9
700122085,470,490,1112,2,7,8
700068810,364,407,705,2,4,8
130712,430,451,810,1,8,9
1400008798,275,295,165,2,2,7
700050259,451,477,981,2,4,8
700143267,406,430,704,2,8,9
1400087483,222,230,158,2,3,8
69643,290,290,300,2,2,6
700046467,156,173,52,4,1,7
700136703,292,310,171,1,6,9
700054979,381,403,572,4,4,9
700072646,349,375,704,4,6,7
700052146,606,673,2391,2,18,7
122801,207,219,120,2,4,9
700100544,451,478,1050,2,6,9
700139472,380,423,570,2,18,6
700140212,204,235,169,4,2,9
1400058090,190,200,100,,3,8
700037763,150,167,28,4,1,7
102522,522,560,715,2,4,6
148314,302,322,280,2,5,9
700078818,631,665,1500,1,8,6
700045095,408,449,901,2,11,6
700043277,471,528,1588,2,17,6
700060758,550,610,2002,2,15,7
700080135,269,285,196,2,3,9
700113284,526,526,838,4,10,5
104328,198,210,76,2,3,9
1400070541,360,380,600,1,2,7
700073302,465,489,1153,2,9,8
700138633,367,410,682,2,6,9
700056825,367,392,433,4,6,9
700050788,294,313,278,2,4,9
700057021,222,240,118,4,4,7
700085880,288,322,302,1,2,7
700045746,400,422,1190,2,9,7
700114963,601,638,1075,2,5,6
167180,345,355,570,2,2,6
700141784,153,176,40,2,2,9
700115225,493,522,661,2,4,8
700053864,425,451,1127,,7,8
700037440,335,366,525,,6,8
1400062357,432,456,375,2,2,8
700104163,460,490,672,2,4,5
700057262,168,183,37,2,11,7
700072988,366,384,553,1,5,9
700129010,233,245,107,4,2,9
700112086,388,420,382,,10,6
700032476,268,305,366,4,7,8
700068816,509,548,1757,4,11,5
700059526,462,507,1547,,12,7
700081695,430,465,901,2,9,8
700125399,186,198,52,1,2,8
700141161,344,367,393,1,6,8
700094806,380,405,500,4,5,9
700078049,329,349,346,4,3,9
117754,158,165,29,2,2,9
700120053,400,420,529,1,7,9
700068903,280,299,210,2,3,9
700142407,398,436,960,4,8,7
700123485,478,513,1187,2,13,7
700133512,285,304,229,4,4,9
700141137,253,272,185,2,4,9
700031058,368,387,494,1,4,9
62015,376,392,715,2,4,7
700132357,460,491,1014,2,13,9
700086381,355,380,455,4,9,8
700073618,225,244,131,,3,7
102235,743,779,4125,2,19,8
1400085923,330,344,600,4,4,8
700044633,441,489,1168,2,20,7
700059421,367,395,570,,5,8
700097641,224,239,120,4,2,9
700065734,216,227,70,2,5,8
700039533,237,257,130,4,3,8
700073601,350,370,445,4,6,9
105280,484,511,1220,1,14,7
700071686,304,343,295,1,5,8
700138952,530,552,1374,2,12,8
700077439,476,502,1065,2,7,9
700121040,224,250,135,2,2,9
700103514,425,456,919,1,7,9
700033992,387,419,1000,,9,7
700120463,451,493,1411,2,7,8
130013,175,190,59,2,1,9
700052307,898,943,4400,2,12,6
700136500,233,249,113,4,4,9
700076710,499,546,1997,4,14,6
700055671,446,470,796,2,5,9
700104629,490,532,1943,2,14,6
1400071759,255,270,230,1,5,8
156780,637,675,1865,2,5,6
171937,444,466,1620,2,9,8
700122061,455,510,1200,2,34,8
700033903,167,175,127,2,10,6
700135116,390,390,322,1,9,8
700139385,438,474,998,,11,6
150377,304,326,191,2,1,9
700039278,363,405,438,2,14,7
700104462,461,494,900,2,13,7
700125985,531,569,994,2,4,6
700112295,305,323,290,2,3,9
700045527,405,456,900,1,7,8
700038660,518,552,926,2,4,7
700097967,233,246,228,4,3,8
700045092,366,396,576,2,10,6
700044812,534,534,1051,,9,7
700087785,347,369,445,2,3,9
700130499,480,530,1460,1,29,5
700130222,222,235,113,4,2,9
700046108,142,148,41,4,4,8
1400054684,447,479,850,1,6,8
700110673,319,344,419,,5,7
700111855,505,533,1313,2,7,8
1400058420,360,384,330,4,2,8
1400055857,192,201,180,2,5,7
700135141,585,625,2316,2,11,8
700033462,435,486,1066,1,17,5
700038912,276,293,195,4,3,9
700087292,395,419,700,4,9,9
700101506,492,540,1650,4,10,6
700029459,407,455,890,2,13,7
700081266,407,459,957,1,9,6
700081051,486,541,2140,2,11,8
156403,500,535,1334,2,6,9
700069477,428,454,875,1,9,9
700113797,174,178,109,4,6,8
700047032,200,210,114,4,7,5
111832,386,406,1050,1,8,9
700096928,290,313,250,1,8,9
73209,199,209,105,2,3,8
700110055,170,180,45,4,1,9
700084610,362,387,470,1,7,8
700037687,196,208,90,,8,7
700108541,525,591,2755,2,24,6
700111545,267,288,258,,4,8
115067,344,362,243,2,1,9
150816,492,520,855,1,6,8
700057069,634,695,2648,2,26,6
700041585,396,412,1156,4,8,7
700140999,441,465,949,2,8,8
700082899,353,379,440,1,6,9
700051977,165,187,49,2,7,3
700099935,568,595,1137,1,4,7
700109199,387,415,661,1,8,6
118795,550,585,1150,2,3,7
700142182,423,463,1132,,13,7
700101702,500,571,1650,1,20,6
700094686,701,732,4190,2,18,7
1400072253,372,406,520,1,3,7
700103499,206,216,142,1,3,9
700039901,490,515,1310,1,6,9
700097659,402,448,690,4,10,7
700116732,147,154,48,4,3,8
700135786,300,312,250,4,3,8
160805,256,272,140,2,9,9
700124558,382,415,855,,5,9
113407,234,254,109,1,3,9
700049610,174,187,50,4,3,6
700143012,396,425,979,4,6,7
700033291,355,402,611,1,13,6
700046770,433,461,1134,,7,6
700029805,266,289,180,4,2,7
700134496,675,717,3034,2,13,8
700097929,328,350,355,1,4,8
700102475,420,420,575,2,5,8
700082615,231,247,112,4,3,9
700075145,443,494,1488,4,4,8
700062640,384,410,650,,8,8
700130887,317,333,297,1,3,9
700038863,566,611,1423,2,3,7
700031560,231,244,175,4,4,8
700068511,407,435,795,1,13,9
700131776,465,498,1009,2,11,8
700131241,235,266,163,2,5,9
700132286,405,430,729,2,7,9
700043685,185,200,55,4,2,9
700034229,310,341,264,1,5,8
700112603,235,251,182,1,7,7
700143050,475,526,1037,2,13,7
700037578,172,192,53,1,6,9
700099400,419,440,1300,2,7,6
700037806,285,305,232,4,3,9
700073799,300,322,412,4,3,8
700071948,400,424,749,2,6,9
700037615,272,292,213,,2,9
700135608,398,450,816,2,11,8
700051885,172,193,55,2,4,7
700093634,203,209,76,4,2,9
99167,526,556,975,2,3,7
700128439,470,507,1538,,13,5
700041043,328,369,441,2,17,5
700091610,411,439,988,,8,7
700048229,476,529,1298,1,45,5
700131451,358,386,453,4,6,9
103931,250,277,144,1,5,8
154791,348,376,500,2,6,9
700039084,400,426,974,2,6,5
104115,82,89,5,4,0,9
700130113,317,337,309,1,3,9
700048983,312,342,413,,6,7
700058993,607,637,2392,2,12,7
700126531,515,550,879,4,5,8
1400016507,425,455,600,,2,5
700103481,195,204,96,1,3,7
122547,520,546,1750,1,6,9
1400037817,560,593,1080,1,5,7
700047407,474,520,1592,,10,5
700120239,390,404,568,2,4,8
700056548,660,704,3529,2,19,8
1400056033,176,184,80,,4,7
700132724,265,278,187,2,3,9
700058775,311,322,604,4,4,8
700082253,600,618,1318,2,5,9
1400057821,450,495,1100,2,10,7
700033990,350,376,700,,5,6
157780,228,245,110,1,2,9
700051356,403,441,709,2,9,8
700037672,145,152,40,,5,6
700104744,255,291,208,1,5,9
700077207,380,406,575,2,7,9
700115120,235,251,138,1,3,9
1400015748,405,427,1400,4,6,5
700091855,365,394,706,4,6,8
700108731,400,426,395,1,3,8
700083016,593,625,1165,1,6,7
700079328,565,600,1250,4,6,7
700129007,430,466,563,1,2,8
700123122,337,379,486,2,5,7
157596,182,194,56,2,1,9
700041846,240,255,149,4,2,6
700045751,376,400,570,1,4,9
1400069163,405,429,780,2,4,8
700069679,479,407,606,1,9,9
700117215,600,642,1501,2,4,7
700140116,430,490,1276,1,23,5
122859,334,354,640,2,5,9
700140673,298,331,360,1,9,8
700030068,452,497,1003,2,6,7
700119910,169,178,61,,3,7
700072911,435,489,1072,2,21,8
700121426,380,430,594,1,12,7
700069143,570,602,2622,2,20,8
700068862,393,437,925,2,12,8
1400055277,500,530,1400,2,4,8
700073181,487,526,1513,4,14,4
700042576,403,452,862,4,9,7
163468,400,420,1325,1,6,9
700097749,407,433,640,2,6,8
700113524,388,409,564,2,6,8
700117468,335,370,472,1,14,6
66044,500,550,1300,2,7,8
700131970,210,239,89,4,5,7
1400018325,275,290,300,2,5,7
700051765,616,642,2768,2,12,8
700134532,421,472,992,1,17,5
700140257,608,645,,,5,6
700049442,849,899,3721,1,11,6
700054423,185,200,60,4,2,9
150376,213,228,85,1,1,9
